parameter,value,unit,v2_use,source,source_status,link
REASON science role,"Probe Europa ice shell, suspected ocean, surface elevation, roughness, composition, and plumes",,Defines the simulation question as radar ambiguity in ice/ocean interpretation.,NASA Europa Clipper instruments page,Directly source anchored,https://science.nasa.gov/mission/europa-clipper/spacecraft-instruments/
SNR detection threshold,0,dB,Primary detectability threshold for echo classifications.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
Clean compact ice permittivity,3.15,relative epsilon,Background ice dielectric constant and interface reflectivity.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
Pore close-off ice permittivity,2.8,relative epsilon,Low-permittivity end member for porous/void-rich sensitivity layers.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
Brine-filled ice permittivity,9.0,relative epsilon,Briny near-surface and briny lens end member.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
Hydrated salt layer permittivity,5.0,relative epsilon,Salt-layer target interface reflectivity.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
Salt layer thicknesses,"1.0, 0.2",m,Ocean-injected and melt-derived salt-layer cases.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
Attenuation variability anchor,2,dB/km,Used to scale warm/dirty ice attenuation modes; exact rates remain sensitivity parameters.,"Blankenship et al. 2024, REASON",Paper anchored as variability example,https://link.springer.com/article/10.1007/s11214-024-01072-3
HF clean reference margin,6,dB at 30 km,Sets the SNR proxy so clean conductive HF can barely-but-clearly see a 30 km ice-ocean interface.,v2 model calibration,Model assumption,
Frequency attenuation scaling,sqrt(frequency / 9 MHz),,Makes VHF more vulnerable to deep attenuation while preserving REASON's complementary band roles.,v2 model calibration,Sensitivity assumption,
Unresolved thin-layer solver,normal-incidence transfer matrix,,Computes the effective reflection of interfaces inside one vertical-resolution window.,"Blankenship et al. 2024, REASON; Lalich et al. 2021 / Mars analog",Physics upgrade anchored by thin-layer interference literature,https://arxiv.org/abs/2107.03497
VHF off-nadir clutter mechanism,surface returns can share delay with shallow nadir echoes,,Adds a separate surface-clutter ambiguity class for VHF shallow stress tests.,Blankenship et al. 2024 REASON; Castelletti et al. 2017; Scanlan et al. 2020,Paper anchored mechanism; amplitude is sensitivity-modeled,https://link.springer.com/article/10.1007/s11214-024-01072-3
VHF clutter discrimination,cross-track interferometric phase,,Flags that real REASON processing can discriminate some clutter; v2 does not model the phase processor.,Blankenship et al. 2024 REASON; Castelletti et al. 2017; Scanlan et al. 2020,Paper anchored processing concept,https://doi.org/10.1109/TGRS.2017.2721433
HF_9MHz_full_depth center frequency,9.0,MHz,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.","Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
HF_9MHz_full_depth bandwidth,1.0,MHz,Controls vertical resolution.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
HF_9MHz_full_depth vertical resolution,300.0,m in ice,Controls which interfaces coherently blend into one apparent return.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
HF_9MHz_full_depth nominal depth limit,30000.0,m,Controls whether the ocean is in the interpreted receive window for this band mode.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
VHF_60MHz_shallow center frequency,60.0,MHz,High-resolution shallow sounding and clutter discrimination support.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
VHF_60MHz_shallow bandwidth,10.0,MHz,Controls vertical resolution.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
VHF_60MHz_shallow vertical resolution,30.0,m in ice,Controls which interfaces coherently blend into one apparent return.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
VHF_60MHz_shallow nominal depth limit,3000.0,m,Controls whether the ocean is in the interpreted receive window for this band mode.,"Blankenship et al. 2024, REASON",Directly paper anchored,https://link.springer.com/article/10.1007/s11214-024-01072-3
